Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%)
420000,2610,APARTMENT,APARTMENT,GOOD,2,141.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,35.006598115381614,5.786208084608905,1745305266.5072873,76.2,3.4
119000,8500,APARTMENT,APARTMENT,GOOD,1,40.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Kortrijk,Other,75.60579498610886,52.78470177475659,1754096553.2486956,72.2,5.4
397000,1180,APARTMENT,APARTMENT,GOOD,3,114.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Uccle,Brussels Capital,6.753670420082655,15.11322034409951,6243949366.289999,63.7,12.3
125000,4460,HOUSE,HOUSE,TO_BE_DONE_UP,2,87.0,0,0.0,0.0,517.0,2.0,0.0,0.0,Grâce-Hollogne,Liège,79.26201454657497,1.168965432967786,1257145649.0700002,72.2,5.4
370000,1180,APARTMENT,GROUND_FLOOR,GOOD,2,90.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Uccle,Brussels Capital,6.753670420082655,15.11322034409951,6243949366.289999,63.7,12.3
219500,1080,APARTMENT,APARTMENT,AS_NEW,1,60.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Molenbeek-Saint-Jean,Brussels Capital,2.399759810530328,12.726787855951292,3712648187.18,63.7,12.3
342500,1932,APARTMENT,APARTMENT,GOOD,2,82.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Zaventem,Flemish Brabant,6.801642451405152,4.611415828398872,2420508802.35,72.2,5.4
469000,3018,HOUSE,HOUSE,JUST_RENOVATED,3,161.0,0,1.0,0.0,282.0,2.0,0.0,0.0,Leuven,Flemish Brabant,26.15710911631072,15.77638015340437,1736432639.621848,72.2,5.4
500000,1200,APARTMENT,PENTHOUSE,AS_NEW,2,94.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Woluwe-Saint-Lambert,Brussels Capital,5.611635398494777,7.011183413030368,3631679518.14,63.7,12.3
169500,8400,APARTMENT,APARTMENT,TO_BE_DONE_UP,1,53.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other,107.55120326561163,4.043747855309444,1754096553.2486956,72.2,5.4
256000,5530,APARTMENT,APARTMENT,JUST_RENOVATED,2,104.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Yvoir,Namur,72.40515012821109,39.62338218272629,636986270.57,72.2,5.4
279500,8370,APARTMENT,APARTMENT,GOOD,1,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,Other,98.13105837351104,21.51898772619248,1371659714.53,72.2,5.4
340000,1030,APARTMENT,APARTMENT,GOOD,2,123.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Schaerbeek,Brussels Capital,2.729999148382116,8.184390748808344,5851194049.33,63.7,12.3
